,Station,Layer1,Layer2,Layer3,Layer4
2024-03-19 06:00:00,112,23.6,33.3,39.1,42.2
2024-03-19 06:30:00,112,,,,
2024-03-19 07:00:00,112,23.4,33.3,39.1,42.2
2024-03-19 07:30:00,112,23.4,33.3,39.1,42.2
2024-03-19 08:00:00,112,23.3,33.3,39.1,42.2
2024-03-19 08:30:00,112,23.3,33.3,39.1,42.2
2024-03-19 09:00:00,112,23.3,33.2,39.1,42.2
2024-03-19 09:30:00,112,23.2,33.2,39.0,42.1
2024-03-19 10:00:00,112,23.1,33.2,39.0,42.1
2024-03-19 10:30:00,112,23.0,33.2,39.0,42.1
2024-03-19 11:00:00,112,22.9,33.1,39.0,42.1
2024-03-19 11:30:00,112,22.9,33.1,39.0,42.1
2024-03-19 12:00:00,112,22.8,33.1,39.0,42.1
2024-03-19 12:30:00,112,22.8,33.1,39.0,42.1
2024-03-19 13:00:00,112,22.9,33.1,39.0,42.1
2024-03-19 13:30:00,112,23.0,33.0,38.9,42.1
2024-03-19 14:00:00,112,23.1,33.0,38.9,42.1
2024-03-19 14:30:00,112,23.2,33.0,38.9,42.1
2024-03-19 15:00:00,112,23.2,33.0,38.9,42.1
2024-03-19 15:30:00,112,23.3,33.1,38.9,42.1
2024-03-19 16:00:00,112,23.4,33.1,38.9,42.0
2024-03-19 16:30:00,112,23.6,33.1,38.9,42.0
2024-03-19 17:00:00,112,23.7,33.1,38.9,42.0
2024-03-19 17:30:00,112,23.8,33.2,38.8,42.0
2024-03-19 18:00:00,112,23.9,33.2,38.8,42.0
2024-03-19 18:30:00,112,24.0,33.3,38.8,42.0
2024-03-19 19:00:00,112,24.1,33.3,38.8,42.0
2024-03-19 19:30:00,112,24.2,33.3,38.8,42.0
2024-03-19 20:00:00,112,24.3,33.4,38.8,42.0
2024-03-19 20:30:00,112,24.3,33.4,38.8,42.0
2024-03-19 21:00:00,112,24.4,33.5,38.8,42.0
2024-03-19 21:30:00,112,24.4,33.6,38.8,42.0
2024-03-19 22:00:00,112,24.4,33.6,38.8,41.9
2024-03-19 22:30:00,112,24.3,33.7,38.8,41.9
2024-03-19 23:00:00,112,24.3,33.7,38.8,41.9
2024-03-19 23:30:00,112,24.2,33.7,38.8,41.9
2024-03-20 00:00:00,112,24.1,33.7,38.8,41.9
2024-03-20 00:30:00,112,24.1,33.8,38.9,41.9
2024-03-20 01:00:00,112,24.0,33.8,38.9,41.9
2024-03-20 01:30:00,112,23.9,33.8,38.9,41.9
2024-03-20 02:00:00,112,23.9,33.8,38.9,41.9
2024-03-20 02:30:00,112,,,,
2024-03-20 03:00:00,112,,,,
2024-03-20 03:30:00,112,23.7,33.8,38.9,41.9
2024-03-20 04:00:00,112,23.7,33.7,39.0,41.9
2024-03-20 04:30:00,112,23.6,33.7,39.0,42.0
2024-03-20 05:00:00,112,23.6,33.7,39.0,42.0
2024-03-20 05:30:00,112,23.6,33.7,39.0,42.0
2024-03-20 06:00:00,112,23.5,33.7,39.0,42.0
2024-03-20 06:30:00,112,23.5,33.7,39.0,42.0
2024-03-20 07:00:00,112,23.4,33.6,39.0,42.0
2024-03-20 07:30:00,112,23.4,33.6,39.0,42.0
2024-03-20 08:00:00,112,23.4,33.6,39.0,42.0
2024-03-20 08:30:00,112,23.3,33.6,39.0,42.0
2024-03-20 09:00:00,112,23.3,33.5,39.0,42.0
2024-03-20 09:30:00,112,23.2,33.5,39.0,42.0
2024-03-20 10:00:00,112,23.2,33.5,39.0,42.0
2024-03-20 10:30:00,112,23.1,33.5,39.0,42.0
2024-03-20 11:00:00,112,23.1,33.5,39.0,42.0
2024-03-20 11:30:00,112,23.1,33.4,39.0,42.0
2024-03-20 12:00:00,112,23.1,33.4,39.0,42.0
2024-03-20 12:30:00,112,,,,
2024-03-20 13:00:00,112,,,,
2024-03-20 13:30:00,112,23.0,33.4,39.0,42.0
2024-03-20 14:00:00,112,23.1,33.4,39.0,42.0
2024-03-20 14:30:00,112,23.1,33.4,39.0,41.9
2024-03-20 15:00:00,112,23.2,33.4,39.0,41.9
2024-03-20 15:30:00,112,23.3,33.4,39.0,41.9
2024-03-20 16:00:00,112,23.4,33.4,39.0,41.9
2024-03-20 16:30:00,112,23.5,33.5,39.0,41.9
2024-03-20 17:00:00,112,23.6,33.5,39.0,41.9
2024-03-20 17:30:00,112,23.7,33.5,38.9,41.9
2024-03-20 18:00:00,112,23.8,33.6,38.9,41.9
2024-03-20 18:30:00,112,23.9,33.6,38.9,41.9
2024-03-20 19:00:00,112,23.9,33.7,38.9,41.9
2024-03-20 19:30:00,112,24.0,33.7,38.9,41.9
2024-03-20 20:00:00,112,24.0,33.8,38.9,41.9
2024-03-20 20:30:00,112,,,,
2024-03-20 21:00:00,112,23.9,33.8,38.9,41.9
2024-03-20 21:30:00,112,23.9,33.9,39.0,41.9
2024-03-20 22:00:00,112,23.8,33.9,39.0,41.9
2024-03-20 22:30:00,112,23.7,33.9,39.0,41.9
2024-03-20 23:00:00,112,23.6,33.9,39.0,41.9
2024-03-20 23:30:00,112,23.5,33.9,39.0,41.9
2024-03-21 00:00:00,112,23.4,33.9,39.0,41.9
2024-03-21 00:30:00,112,23.3,33.9,39.0,41.9
2024-03-21 01:00:00,112,23.2,33.9,39.0,41.9
2024-03-21 01:30:00,112,23.1,33.8,39.1,41.9
2024-03-21 02:00:00,112,23.1,33.8,39.1,41.9
2024-03-21 02:30:00,112,23.0,33.8,39.1,41.9
2024-03-21 03:00:00,112,22.9,33.7,39.1,41.9
2024-03-21 03:30:00,112,22.8,33.7,39.1,41.9
2024-03-21 04:00:00,112,22.8,33.6,39.1,41.9
2024-03-21 04:30:00,112,22.7,33.6,39.1,41.9
2024-03-21 05:00:00,112,22.6,33.6,39.1,41.9
2024-03-21 05:30:00,112,22.6,33.5,39.1,41.9
2024-03-21 06:00:00,112,22.5,33.4,39.1,41.9
2024-03-21 06:30:00,112,22.4,33.4,39.1,41.9
2024-03-21 07:00:00,112,22.4,33.4,39.1,41.9
2024-03-21 07:30:00,112,22.4,33.3,39.1,41.9
2024-03-21 08:00:00,112,22.3,33.3,39.1,42.0
2024-03-21 08:30:00,112,22.3,33.3,39.1,42.0
2024-03-21 09:00:00,112,22.2,33.3,39.1,42.0
2024-03-21 09:30:00,112,22.2,33.3,39.1,41.9
2024-03-21 10:00:00,112,22.2,33.2,39.1,41.9
2024-03-21 10:30:00,112,22.1,33.2,39.1,41.9
2024-03-21 11:00:00,112,,,,
2024-03-21 11:30:00,112,22.1,33.1,39.0,41.9
2024-03-21 12:00:00,112,22.0,33.1,39.0,41.9
2024-03-21 12:30:00,112,22.0,33.1,39.0,41.9
2024-03-21 13:00:00,112,22.0,33.0,39.0,41.9
2024-03-21 13:30:00,112,22.0,33.0,39.0,41.9
2024-03-21 14:00:00,112,,,,
2024-03-21 14:30:00,112,22.0,33.0,39.0,41.9
2024-03-21 15:00:00,112,22.0,33.0,39.0,41.9
2024-03-21 15:30:00,112,22.0,33.0,39.0,41.9
2024-03-21 16:00:00,112,22.0,33.0,39.0,41.9
2024-03-21 16:30:00,112,22.0,33.0,38.9,41.9
2024-03-21 17:00:00,112,22.1,33.0,38.9,41.8
2024-03-21 17:30:00,112,22.1,33.0,38.9,41.8
2024-03-21 18:00:00,112,22.3,33.0,38.9,41.8
2024-03-21 18:30:00,112,22.4,33.1,38.9,41.8
2024-03-21 19:00:00,112,22.5,33.1,38.9,41.8
2024-03-21 19:30:00,112,22.6,33.2,38.9,41.8
2024-03-21 20:00:00,112,22.7,33.2,38.9,41.8
2024-03-21 20:30:00,112,,,,
2024-03-21 21:00:00,112,22.7,33.3,38.9,41.8
2024-03-21 21:30:00,112,22.7,33.3,38.9,41.8
2024-03-21 22:00:00,112,,,,
2024-03-21 22:30:00,112,22.7,33.3,38.9,41.8
2024-03-21 23:00:00,112,22.6,33.3,38.9,41.8
2024-03-21 23:30:00,112,22.5,33.4,38.9,41.8
2024-03-22 00:00:00,112,22.4,33.4,38.9,41.8
2024-03-22 00:30:00,112,22.4,33.4,38.9,41.8
2024-03-22 01:00:00,112,22.3,33.4,38.9,41.8
2024-03-22 01:30:00,112,22.2,33.3,38.9,41.8
2024-03-22 02:00:00,112,22.2,33.3,38.9,41.8
2024-03-22 02:30:00,112,22.1,33.3,38.9,41.8
2024-03-22 03:00:00,112,22.0,33.3,38.9,41.8
2024-03-22 03:30:00,112,22.0,33.3,38.9,41.8
2024-03-22 04:00:00,112,21.9,33.3,38.9,41.8
2024-03-22 04:30:00,112,21.9,33.3,39.0,41.8
2024-03-22 05:00:00,112,21.8,33.3,39.0,41.8
2024-03-22 05:30:00,112,21.8,33.3,39.0,41.8
2024-03-22 06:00:00,112,21.8,33.2,39.0,41.8
2024-03-22 06:30:00,112,21.7,33.2,39.0,41.8
2024-03-22 07:00:00,112,21.7,33.2,39.0,41.8
2024-03-22 07:30:00,112,21.7,33.2,39.0,41.8
2024-03-22 08:00:00,112,21.6,33.1,39.0,41.8
2024-03-22 08:30:00,112,21.6,33.1,39.0,41.8
2024-03-22 09:00:00,112,21.6,33.1,39.0,41.8
2024-03-22 09:30:00,112,21.6,33.1,39.0,41.8
2024-03-22 10:00:00,112,21.5,33.1,38.9,41.8
2024-03-22 10:30:00,112,21.5,33.0,38.9,41.8
2024-03-22 11:00:00,112,21.5,33.0,38.9,41.8
2024-03-22 11:30:00,112,21.5,33.0,38.9,41.8
2024-03-22 12:00:00,112,21.5,33.0,38.9,41.8
2024-03-22 12:30:00,112,21.4,33.0,38.9,41.8
2024-03-22 13:00:00,112,21.5,33.0,38.9,41.8
2024-03-22 13:30:00,112,21.5,33.0,38.9,41.8
2024-03-22 14:00:00,112,21.5,33.0,38.9,41.8
2024-03-22 14:30:00,112,21.5,33.0,38.9,41.8
2024-03-22 15:00:00,112,21.6,33.0,38.9,41.8
2024-03-22 15:30:00,112,21.6,33.0,38.9,41.8
2024-03-22 16:00:00,112,21.7,33.0,38.9,41.8
2024-03-22 16:30:00,112,21.9,33.1,38.8,41.8
