ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-06-27 02:47:44.388,111,,,,
2024-06-27 03:17:44.377,111,,,,
2024-06-27 03:47:44.318,111,,,,
2024-06-27 04:17:44.005,111,,,,
2024-06-27 04:47:44.144,111,,,,
2024-06-27 05:17:43.813,111,,,,
2024-06-27 06:17:44.061,111,,,,
2024-06-27 06:47:44.157,111,,,,
2024-06-27 08:17:44.261,111,15.0,18.1,40.5,49.7
2024-06-27 08:47:44.246,111,15.0,18.1,40.4,49.7
2024-06-27 09:47:44.155,111,15.0,18.1,40.3,49.6
2024-06-27 10:17:43.834,111,15.0,18.1,40.3,49.5
2024-06-27 10:47:44.093,111,15.0,18.1,40.2,49.4
2024-06-27 11:17:43.875,111,15.0,18.0,40.1,49.4
2024-06-27 11:47:44.010,111,15.0,18.0,40.0,49.3
2024-06-27 12:17:43.679,111,15.1,18.0,40.0,49.2
2024-06-27 12:47:43.778,111,,,,
2024-06-27 13:47:43.539,111,15.3,18.0,39.7,49.0
2024-06-27 14:17:43.832,111,15.4,18.1,39.6,49.0
2024-06-27 14:47:43.577,111,15.5,18.1,39.5,48.9
2024-06-27 15:17:43.756,111,15.6,18.1,39.4,48.9
2024-06-27 15:47:43.680,111,15.6,18.1,39.3,48.8
2024-06-27 16:17:43.496,111,15.6,18.2,39.2,48.8
2024-06-27 16:47:43.623,111,15.6,18.2,39.1,48.7
2024-06-27 17:17:43.599,111,15.7,18.2,39.1,48.7
2024-06-27 17:47:43.567,111,15.6,18.3,39.0,48.6
2024-06-27 18:17:43.526,111,15.6,18.3,38.9,48.6
2024-06-27 19:17:43.266,111,,,,
2024-06-27 19:47:43.102,111,15.5,18.3,38.9,48.6
2024-06-27 20:17:43.136,111,,,,
2024-06-27 20:47:43.103,111,,,,
2024-06-27 21:17:42.968,111,,,,
2024-06-27 21:47:43.009,111,,,,
2024-06-27 22:17:43.010,111,,,,
2024-06-27 22:47:42.973,111,,,,
2024-06-27 23:17:42.833,111,,,,
2024-06-27 23:47:42.893,111,,,,
2024-06-28 00:17:42.885,111,,,,
2024-06-28 00:47:42.845,111,,,,
2024-06-28 01:17:42.825,111,,,,
2024-06-28 01:47:42.770,111,,,,
2024-06-28 02:17:42.765,111,,,,
2024-06-28 02:47:42.738,111,,,,
2024-06-28 03:47:42.669,111,,,,
2024-06-28 04:17:42.657,111,,,,
2024-06-28 04:47:42.608,111,,,,
2024-06-28 05:17:42.566,111,,,,
2024-06-28 05:47:42.465,111,,,,
2024-06-28 06:17:42.520,111,,,,
2024-06-28 06:47:42.479,111,,,,
2024-06-28 07:17:42.456,111,,,,
2024-06-28 07:47:42.632,111,14.8,18.0,39.1,49.0
2024-06-28 08:17:42.199,111,,,,
2024-06-28 08:47:42.433,111,,,,
2024-06-28 09:17:42.301,111,,,,
2024-06-28 09:47:42.496,111,14.7,18.0,39.0,48.9
2024-06-28 10:17:42.468,111,14.7,17.9,38.9,48.9
2024-06-28 10:47:42.446,111,14.7,17.9,38.9,48.9
2024-06-28 11:17:42.395,111,14.7,17.9,38.8,48.8
2024-06-28 11:47:41.885,111,,,,
2024-06-28 12:17:42.017,111,14.6,17.9,38.7,48.7
2024-06-28 12:47:41.791,111,14.7,17.9,38.7,48.7
2024-06-28 13:17:41.944,111,14.7,17.9,38.6,48.6
2024-06-28 13:47:41.782,111,14.7,17.9,38.5,48.6
2024-06-28 14:17:41.864,111,14.7,17.9,38.4,48.5
2024-06-28 14:47:41.816,111,14.7,17.9,38.4,48.5
2024-06-28 15:17:41.791,111,14.7,17.9,38.3,48.5
2024-06-28 15:47:41.757,111,14.7,17.9,38.2,48.4
2024-06-28 16:17:41.747,111,14.7,17.9,38.1,48.4
2024-06-28 16:47:41.411,111,,,,
2024-06-28 17:17:41.644,111,14.7,17.9,38.0,48.3
2024-06-28 17:47:41.500,111,14.7,17.9,38.0,48.3
2024-06-28 18:17:41.593,111,14.7,17.9,37.9,48.3
2024-06-28 18:47:41.849,111,14.7,17.9,37.9,48.3
2024-06-28 19:17:41.626,111,14.7,17.9,37.9,48.3
2024-06-28 19:47:41.585,111,14.6,17.9,37.9,48.3
2024-06-28 20:17:41.743,111,14.6,17.9,38.0,48.3
2024-06-28 21:17:41.324,111,14.6,17.9,38.0,48.4
2024-06-28 21:47:41.599,111,14.5,17.9,38.0,48.4
2024-06-28 22:17:41.079,111,14.6,17.9,38.0,48.4
2024-06-28 22:47:41.529,111,14.4,17.9,38.0,48.4
2024-06-28 23:17:41.472,111,14.4,17.9,38.0,48.5
2024-06-28 23:47:41.455,111,14.4,17.9,38.0,48.5
2024-06-29 00:17:41.428,111,14.4,17.8,38.0,48.5
2024-06-29 00:47:41.387,111,14.4,17.8,38.0,48.5
2024-06-29 01:17:41.382,111,14.3,17.8,38.0,48.5
2024-06-29 01:47:41.313,111,14.3,17.8,38.1,48.5
2024-06-29 02:17:41.269,111,14.3,17.8,38.1,48.5
2024-06-29 02:47:41.247,111,14.3,17.8,38.1,48.5
2024-06-29 03:17:41.163,111,14.3,17.8,38.1,48.5
2024-06-29 03:47:40.985,111,,,,
2024-06-29 04:17:41.130,111,14.2,17.8,38.1,48.6
2024-06-29 04:47:41.088,111,14.3,17.8,38.1,48.6
2024-06-29 05:17:40.619,111,14.4,17.8,38.0,48.4
2024-06-29 05:47:40.852,111,,,,
2024-06-29 06:17:40.376,111,14.8,17.8,38.0,48.4
2024-06-29 06:47:40.907,111,23.6,26.3,46.9,48.9
2024-06-29 07:17:40.910,111,23.1,25.2,46.4,49.0
2024-06-29 07:47:40.884,111,22.3,24.3,45.5,49.1
2024-06-29 08:17:40.816,111,29.7,37.1,47.3,49.4
2024-06-29 08:47:40.788,111,26.8,32.8,47.2,49.6
2024-06-29 09:17:40.584,111,,,,
2024-06-29 09:47:40.414,111,25.5,29.1,47.2,49.7
2024-06-29 10:17:40.499,111,25.2,28.6,47.1,49.8
2024-06-29 10:47:40.626,111,25.0,28.3,46.9,49.8
2024-06-29 11:17:40.168,111,24.8,27.9,46.4,49.9
2024-06-29 11:47:40.256,111,24.7,27.5,46.1,50.0
2024-06-29 12:17:40.383,111,,,,
2024-06-29 12:47:40.003,111,24.3,26.9,45.8,50.0
2024-06-29 13:17:40.450,111,24.1,26.7,45.6,50.0
2024-06-29 13:47:40.226,111,,,,
2024-06-29 14:17:40.240,111,,,,
2024-06-29 14:47:40.183,111,,,,
2024-06-29 15:17:40.287,111,23.3,26.0,44.4,50.0
2024-06-29 15:47:39.744,111,23.2,25.9,44.3,50.0
2024-06-29 16:17:39.711,111,22.9,25.7,44.1,49.9
2024-06-29 16:47:40.036,111,,,,
2024-06-29 17:17:40.163,111,22.6,25.5,43.8,49.9
2024-06-29 17:47:40.137,111,22.4,25.3,43.7,49.8
2024-06-29 18:17:40.061,111,22.2,25.2,43.5,49.8
2024-06-29 18:47:40.052,111,22.1,25.1,43.4,49.8
2024-06-29 19:17:40.030,111,22.0,25.1,43.4,49.8
2024-06-29 19:47:39.757,111,22.0,25.0,43.3,49.8
2024-06-29 20:17:39.654,111,21.9,25.0,43.3,49.8
2024-06-29 20:47:39.812,111,21.9,25.0,43.3,49.9
2024-06-29 21:47:39.794,111,21.7,24.9,43.3,49.9
2024-06-29 22:17:39.500,111,21.6,24.9,43.2,49.9
2024-06-29 22:47:39.091,111,,,,
2024-06-29 23:17:38.970,111,,,,
2024-06-29 23:47:39.682,111,21.3,24.7,43.2,50.0
2024-06-30 00:47:39.380,111,,,,
2024-06-30 01:17:39.584,111,21.1,24.6,43.2,50.0
2024-06-30 01:47:39.306,111,,,,
2024-06-30 02:17:39.145,111,,,,
2024-06-30 02:47:39.251,111,,,,
2024-06-30 03:17:39.096,111,,,,
2024-06-30 03:47:39.073,111,,,,
2024-06-30 04:17:39.137,111,,,,
2024-06-30 04:47:39.096,111,,,,
2024-06-30 05:17:39.064,111,,,,
2024-06-30 05:47:39.023,111,,,,
2024-06-30 06:17:39.006,111,,,,
2024-06-30 06:47:38.965,111,,,,
2024-06-30 07:17:38.939,111,,,,
2024-06-30 07:47:38.978,111,,,,
2024-06-30 08:17:39.117,111,20.3,23.9,43.1,50.0
2024-06-30 08:47:38.839,111,,,,
2024-06-30 09:17:38.803,111,,,,
2024-06-30 09:47:38.584,111,,,,
2024-06-30 10:17:38.979,111,19.9,23.6,42.9,50.0
2024-06-30 10:47:38.956,111,19.8,23.6,42.9,50.0
2024-06-30 11:17:38.603,111,19.7,23.5,42.8,49.9
